,property_type,area_m2,price_usd,lat,lon,state
247,house,151,237145.4,23.634501,-102.552788,Tabasco
248,house,177,115937.75,20.5887932,-100.3898881,Querétaro
249,apartment,116,171231.07,19.028651,-98.258029,Puebla
250,apartment,60,38812.39,19.493713,-99.204941,Distrito Federal
251,house,181,129112.49,19.11819,-96.107956,Veracruz de Ignacio de la Llave
252,house,175,115937.75,18.14792879,-94.47729269,Veracruz de Ignacio de la Llave
253,house,370,316193.86,19.4907003,-99.2553635,Estado de México
254,apartment,73,106110.57,25.672309,-100.374119,Nuevo León
255,house,220,150156.47,19.542509,-99.218987,Estado de México
256,house,235,171231.07,19.671952,-101.175638,Chiapas
257,house,176,62170.05,19.297108,-103.737602,Colima
258,house,170,95499.52,32.421957,-117.033513,Baja California
259,house,73,36783.88,18.855343,-99.241142,Morelos
260,house,185,189716.32,18.939657,-99.20237,Morelos
261,house,200,228450.07,19.345431,-99.209949,Distrito Federal
262,house,127,131747.44,25.660103,-100.410858,Nuevo León
263,house,110,143834.1,19.564925,-99.218415,Estado de México
264,house,281,152790.8,25.652299,-100.266174,Nuevo León
265,apartment,75,34421.81,19.452665,-99.121497,Distrito Federal
266,apartment,72,48471.56,16.869995,-99.869568,Guerrero
267,house,185,82717.77,16.768602,-93.164162,Chiapas
268,house,120,63223.78,23.634501,-102.552788,Hidalgo
269,house,200,158059.45,19.317622,-99.607241,Estado de México
270,house,168,115937.75,16.850374,-99.850166,Guerrero
271,apartment,144,79048.46,21.0306572,-89.5945502,Yucatán
272,house,90,131716.2,19.359798,-99.161675,Distrito Federal
273,house,182,68492.42,19.3434226,-99.1359301,Distrito Federal
274,apartment,91,79029.72,19.4503249,-99.1351802,Distrito Federal
275,house,76,35826.8,22.39186463,-97.90892243,Tamaulipas
276,apartment,75,36882.11,19.307417,-99.125191,Distrito Federal
277,house,245,92201.34,24.0277202,-104.6531759,Durango
278,apartment,120,59711.33,19.374843,-99.293871,Estado de México
279,apartment,140,73234.21,22.1352302,-101.0266343,San Luis Potosí
280,house,348,155425.12,25.577366,-103.437088,Veracruz de Ignacio de la Llave
281,house,300,142253.5,19.517859,-96.891403,Veracruz de Ignacio de la Llave
282,house,290,208111.61,20.605692,-100.38488,Querétaro
283,house,180,50064.02,22.15805073,-100.9284005,San Luis Potosí
284,house,162,89567.02,18.847519,-99.220529,Morelos
285,house,190,94331.17,19.119549,-96.107643,Veracruz de Ignacio de la Llave
286,house,300,207057.88,19.301835,-99.206377,Distrito Federal
287,house,215,163366.83,16.756552,-93.181732,Chiapas
288,house,80,34246.21,18.813505,-98.953514,Morelos
289,house,160,115937.75,19.8301251,-90.5349087,Campeche
290,house,271,179134.04,20.592563,-100.371039,Querétaro
291,house,169,84054.87,20.044181,-99.34648,Hidalgo
292,apartment,80,85899.33,19.396893,-99.152302,Distrito Federal
293,house,230,131716.2,20.615292,-103.312843,Jalisco
294,house,167,68492.42,21.202881,-101.679077,Guanajuato
295,house,349,200256.11,21.0315095,-89.600513,Yucatán
296,house,272,260798.09,19.33981,-99.216052,Distrito Federal
297,house,347,292796.2,25.6773984,-100.3940095,Nuevo León
298,house,305,194986.21,21.0344135,-89.5978127,Yucatán
299,house,270,255590.04,18.936026,-99.216217,Morelos
300,house,75,35563.37,20.607178,-100.335754,Querétaro
301,house,218,255529.44,19.470298,-99.272488,Estado de México
302,house,340,250260.79,19.522923,-99.241837,Estado de México
303,house,170,123842.59,20.570164,-100.363823,Querétaro
304,house,240,115937.75,18.14778478,-94.43966746,Veracruz de Ignacio de la Llave
305,house,100,57287.8,19.399741,-99.115503,Distrito Federal
306,house,130,119651,19.282308,-99.126869,Distrito Federal
307,apartment,76,34245.11,19.634604,-99.088905,Estado de México
308,house,106,105372.96,18.904448,-99.242474,Morelos
309,house,278,183875.82,19.456544,-99.127136,Distrito Federal
310,house,285,231875.5,20.726007,-100.442642,Querétaro
311,house,300,200208.63,20.548123,-100.436245,Querétaro
312,apartment,85,76740.25,19.396705,-99.181902,Distrito Federal
313,house,137,83264.38,20.6543981,-100.3546346,Querétaro
314,house,160,154371.39,16.766762,-93.148401,Chiapas
315,house,94,55333.92,18.954132,-99.266083,Morelos
316,house,220,165962.42,25.696475,-100.345717,Nuevo León
317,apartment,80,131400.09,19.270165,-99.152404,Distrito Federal
318,house,100,50052.15,23.634501,-102.552788,Guerrero
319,apartment,92,142253.5,19.39912,-99.141464,Distrito Federal
320,house,270,231820.52,19.229864,-99.597954,Estado de México
